association_identity_teacher_only,partition,event,observations,distinct_traversals,full_visibility_rows,star_variants,canonical_exit_count
605,fit,geometry_transition,12,2,12,1,2
606,fit,geometry_transition,8,2,8,1,2
607,fit,geometry_transition,1,1,1,1,2
608,fit,geometry_transition,8,2,8,1,2
609,fit,geometry_transition,2,2,2,1,2
610,fit,geometry_transition,1,1,1,1,2
611,fit,geometry_transition,4,2,4,1,2
612,fit,geometry_transition,1,1,1,1,2
613,fit,geometry_transition,6,2,6,1,2
614,fit,geometry_transition,3,2,3,1,2
615,fit,geometry_transition,6,2,6,1,2
616,fit,geometry_transition,2,2,2,1,2
617,fit,geometry_transition,16,2,16,1,2
618,fit,geometry_transition,14,2,14,1,2
619,fit,geometry_transition,12,2,12,1,2
620,fit,terminal,17,2,17,1,1
621,fit,junction,49,6,49,1,3
622,fit,terminal,17,2,17,1,1
623,fit,junction,51,6,51,1,3
624,fit,junction,46,6,46,1,3
625,fit,junction,51,6,51,1,3
626,fit,terminal,17,2,17,1,1
627,fit,terminal,17,2,17,1,1
628,fit,geometry_transition,9,2,9,1,2
629,fit,geometry_transition,2,2,2,1,2
630,fit,geometry_transition,3,2,3,1,2
631,fit,geometry_transition,3,2,3,1,2
632,fit,geometry_transition,17,2,17,1,2
633,fit,geometry_transition,1,1,1,1,2
634,fit,geometry_transition,4,2,4,1,2
635,fit,geometry_transition,6,2,6,1,2
636,fit,geometry_transition,18,2,18,1,2
637,fit,geometry_transition,4,2,4,1,2
638,fit,geometry_transition,4,2,4,1,2
639,fit,geometry_transition,4,2,4,1,2
640,fit,geometry_transition,5,2,5,1,2
641,fit,geometry_transition,6,2,6,1,2
642,fit,geometry_transition,7,2,7,1,2
643,fit,geometry_transition,9,2,9,1,2
644,fit,geometry_transition,11,2,11,1,2
645,fit,geometry_transition,9,2,9,1,2
646,fit,geometry_transition,1,1,1,1,2
647,fit,geometry_transition,1,1,1,1,2
648,fit,geometry_transition,6,2,6,1,2
649,fit,geometry_transition,2,1,2,1,2
650,fit,geometry_transition,1,1,1,1,2
651,fit,geometry_transition,4,2,4,1,2
652,fit,geometry_transition,9,2,9,1,2
653,fit,geometry_transition,7,2,7,1,2
654,fit,geometry_transition,8,2,8,1,2
655,fit,geometry_transition,1,1,1,1,2
656,fit,geometry_transition,5,2,5,1,2
657,fit,terminal,17,2,17,1,1
658,fit,terminal,8,2,8,1,1
659,fit,junction,42,6,42,1,3
660,fit,junction,35,6,35,1,3
661,fit,terminal,6,2,6,1,1
662,fit,junction,51,6,51,1,3
663,fit,terminal,17,2,17,1,1
664,fit,junction,51,6,51,1,3
665,fit,junction,51,6,51,1,3
666,fit,terminal,17,2,17,1,1
667,fit,geometry_transition,10,2,10,1,2
668,fit,geometry_transition,14,2,14,1,2
669,fit,geometry_transition,9,2,9,1,2
670,fit,turn,9,2,9,1,2
671,fit,geometry_transition,1,1,1,1,2
672,fit,turn,11,2,11,1,2
673,fit,geometry_transition,2,2,2,1,2
674,fit,turn,1,1,1,1,2
675,fit,turn,1,1,1,1,2
676,fit,geometry_transition,8,2,8,1,2
677,fit,geometry_transition,1,1,1,1,2
678,fit,geometry_transition,8,2,8,1,2
679,fit,geometry_transition,10,2,10,1,2
680,fit,geometry_transition,4,2,4,1,2
681,fit,geometry_transition,11,2,11,1,2
682,fit,geometry_transition,4,2,4,1,2
683,fit,geometry_transition,1,1,1,1,2
684,fit,geometry_transition,2,1,2,1,2
685,fit,geometry_transition,4,2,4,1,2
686,fit,geometry_transition,8,2,8,1,2
687,fit,terminal,14,2,14,1,1
688,fit,junction,42,6,42,1,3
689,fit,terminal,17,2,17,1,1
690,fit,terminal,10,2,10,1,1
691,fit,junction,48,6,48,1,3
692,fit,junction,51,6,51,1,3
693,fit,terminal,17,2,17,1,1
694,fit,junction,51,6,51,1,3
695,fit,geometry_transition,7,2,7,1,2
696,fit,geometry_transition,2,1,2,1,2
697,fit,geometry_transition,3,2,3,1,2
698,fit,geometry_transition,4,2,4,1,2
699,fit,geometry_transition,7,2,7,1,2
700,fit,geometry_transition,4,2,4,1,2
701,fit,geometry_transition,1,1,1,1,2
702,fit,geometry_transition,1,1,1,1,2
703,fit,geometry_transition,8,2,8,1,2
704,fit,geometry_transition,2,2,2,1,2
705,fit,geometry_transition,7,2,7,1,2
706,fit,geometry_transition,11,2,11,1,2
707,fit,geometry_transition,8,2,8,1,2
708,fit,geometry_transition,14,2,14,1,2
709,fit,geometry_transition,2,2,2,1,2
710,fit,geometry_transition,2,2,2,1,2
711,fit,geometry_transition,8,2,8,1,2
712,fit,geometry_transition,10,2,10,1,2
713,fit,geometry_transition,10,2,10,1,2
714,fit,geometry_transition,4,2,4,1,2
715,fit,geometry_transition,5,2,5,1,2
716,fit,geometry_transition,12,2,12,1,2
717,fit,geometry_transition,1,1,1,1,2
718,fit,geometry_transition,7,2,7,1,2
719,fit,geometry_transition,5,2,5,1,2
720,fit,geometry_transition,3,2,3,1,2
721,fit,geometry_transition,4,2,4,1,2
722,fit,geometry_transition,5,2,5,1,2
723,fit,geometry_transition,14,2,14,1,2
724,fit,geometry_transition,4,2,4,1,2
725,fit,geometry_transition,9,2,9,1,2
726,fit,geometry_transition,1,1,1,1,2
727,fit,geometry_transition,30,2,30,1,2
728,fit,geometry_transition,4,2,4,1,2
729,fit,geometry_transition,11,2,11,1,2
730,fit,geometry_transition,8,2,8,1,2
731,fit,geometry_transition,10,2,10,1,2
732,fit,geometry_transition,13,2,13,1,2
733,fit,geometry_transition,17,2,17,1,2
734,fit,geometry_transition,6,2,6,1,2
735,fit,geometry_transition,10,2,10,1,2
736,fit,geometry_transition,14,2,14,1,2
737,fit,geometry_transition,4,2,4,1,2
738,fit,geometry_transition,1,1,1,1,2
739,fit,geometry_transition,1,1,1,1,2
740,fit,junction,42,6,42,1,3
741,fit,junction,51,6,51,1,3
742,fit,terminal,15,2,15,1,1
743,fit,junction,49,6,49,1,3
744,fit,junction,45,6,45,1,3
745,fit,terminal,17,2,17,1,1
746,fit,terminal,17,2,17,1,1
747,fit,junction,51,6,51,1,3
748,fit,terminal,17,2,17,1,1
749,fit,terminal,17,2,17,1,1
750,fit,geometry_transition,1,1,1,1,2
751,fit,geometry_transition,5,2,5,1,2
752,fit,geometry_transition,2,2,2,1,2
753,fit,geometry_transition,3,2,3,1,2
754,fit,geometry_transition,4,2,4,1,2
755,fit,geometry_transition,5,2,5,1,2
756,fit,geometry_transition,12,2,12,1,2
757,fit,geometry_transition,1,1,1,1,2
758,fit,geometry_transition,4,2,4,1,2
759,fit,geometry_transition,6,2,6,1,2
760,fit,geometry_transition,2,2,2,1,2
761,fit,turn,1,1,1,1,2
762,fit,geometry_transition,4,2,4,1,2
763,fit,geometry_transition,6,2,6,1,2
