event,probability_threshold,consensus_votes,stable_frames,release_frames,c07_precision,c07_recall,c07_f1,c07_predicted_commits
1,0.85,3,3,2,0.9705882352941176,0.07932692307692307,0.14666666666666667,34
1,0.85,3,3,3,0.9705882352941176,0.07932692307692307,0.14666666666666667,34
1,0.85,3,3,5,0.9705882352941176,0.07932692307692307,0.14666666666666667,34
1,0.85,3,3,8,0.9705882352941176,0.07932692307692307,0.14666666666666667,34
1,0.9,2,1,2,0.8419811320754716,0.8581730769230769,0.85,424
1,0.9,2,1,3,0.8619854721549637,0.8557692307692307,0.8588661037394452,413
1,0.9,2,1,5,0.8793969849246231,0.8413461538461539,0.85995085995086,398
1,0.9,2,1,8,0.8816120906801007,0.8413461538461539,0.8610086100861009,397
1,0.9,2,2,2,0.9523809523809523,0.625,0.7547169811320755,273
1,0.9,2,2,3,0.9558823529411765,0.625,0.755813953488372,272
1,0.9,2,2,5,0.9558823529411765,0.625,0.755813953488372,272
1,0.9,2,2,8,0.9558823529411765,0.625,0.755813953488372,272
1,0.9,2,3,2,0.9936708860759493,0.37740384615384615,0.5470383275261324,158
1,0.9,2,3,3,0.9936708860759493,0.37740384615384615,0.5470383275261324,158
1,0.9,2,3,5,0.9936708860759493,0.37740384615384615,0.5470383275261324,158
1,0.9,2,3,8,0.9936708860759493,0.37740384615384615,0.5470383275261324,158
1,0.9,3,1,2,0.968944099378882,0.375,0.5407279029462738,161
1,0.9,3,1,3,0.968944099378882,0.375,0.5407279029462738,161
1,0.9,3,1,5,0.968944099378882,0.375,0.5407279029462738,161
1,0.9,3,1,8,0.968944099378882,0.375,0.5407279029462738,161
1,0.9,3,2,2,1.0,0.12980769230769232,0.22978723404255322,54
1,0.9,3,2,3,1.0,0.12980769230769232,0.22978723404255322,54
1,0.9,3,2,5,1.0,0.12980769230769232,0.22978723404255322,54
1,0.9,3,2,8,1.0,0.12980769230769232,0.22978723404255322,54
1,0.9,3,3,2,1.0,0.04326923076923077,0.08294930875576036,18
1,0.9,3,3,3,1.0,0.04326923076923077,0.08294930875576036,18
1,0.9,3,3,5,1.0,0.04326923076923077,0.08294930875576036,18
1,0.9,3,3,8,1.0,0.04326923076923077,0.08294930875576036,18
1,0.93,2,1,2,0.864321608040201,0.8269230769230769,0.8452088452088451,398
1,0.93,2,1,3,0.8797953964194374,0.8269230769230769,0.852540272614622,391
1,0.93,2,1,5,0.889763779527559,0.8149038461538461,0.8506900878293601,381
1,0.93,2,1,8,0.889763779527559,0.8149038461538461,0.8506900878293601,381
1,0.93,2,2,2,0.9681274900398407,0.5841346153846154,0.7286356821589205,251
1,0.93,2,2,3,0.9681274900398407,0.5841346153846154,0.7286356821589205,251
1,0.93,2,2,5,0.9681274900398407,0.5841346153846154,0.7286356821589205,251
1,0.93,2,2,8,0.9681274900398407,0.5841346153846154,0.7286356821589205,251
1,0.93,2,3,2,1.0,0.3125,0.47619047619047616,130
1,0.93,2,3,3,1.0,0.3125,0.47619047619047616,130
1,0.93,2,3,5,1.0,0.3125,0.47619047619047616,130
1,0.93,2,3,8,1.0,0.3125,0.47619047619047616,130
1,0.93,3,1,2,0.9754098360655737,0.2860576923076923,0.44237918215613375,122
1,0.93,3,1,3,0.9754098360655737,0.2860576923076923,0.44237918215613375,122
1,0.93,3,1,5,0.9754098360655737,0.2860576923076923,0.44237918215613375,122
1,0.93,3,1,8,0.9754098360655737,0.2860576923076923,0.44237918215613375,122
1,0.93,3,2,2,1.0,0.08413461538461539,0.15521064301552107,35
1,0.93,3,2,3,1.0,0.08413461538461539,0.15521064301552107,35
1,0.93,3,2,5,1.0,0.08413461538461539,0.15521064301552107,35
1,0.93,3,2,8,1.0,0.08413461538461539,0.15521064301552107,35
1,0.93,3,3,2,1.0,0.02403846153846154,0.04694835680751174,10
1,0.93,3,3,3,1.0,0.02403846153846154,0.04694835680751174,10
1,0.93,3,3,5,1.0,0.02403846153846154,0.04694835680751174,10
1,0.93,3,3,8,1.0,0.02403846153846154,0.04694835680751174,10
1,0.95,2,1,2,0.888,0.8004807692307693,0.8419721871049305,375
1,0.95,2,1,3,0.9,0.8004807692307693,0.8473282442748092,370
1,0.95,2,1,5,0.9090909090909091,0.7932692307692307,0.8472400513478819,363
1,0.95,2,1,8,0.9090909090909091,0.7932692307692307,0.8472400513478819,363
1,0.95,2,2,2,0.9655172413793104,0.5384615384615384,0.691358024691358,232
1,0.95,2,2,3,0.9655172413793104,0.5384615384615384,0.691358024691358,232
1,0.95,2,2,5,0.9655172413793104,0.5384615384615384,0.691358024691358,232
1,0.95,2,2,8,0.9655172413793104,0.5384615384615384,0.691358024691358,232
1,0.95,2,3,2,1.0,0.2548076923076923,0.4061302681992337,106
1,0.95,2,3,3,1.0,0.2548076923076923,0.4061302681992337,106
1,0.95,2,3,5,1.0,0.2548076923076923,0.4061302681992337,106
1,0.95,2,3,8,1.0,0.2548076923076923,0.4061302681992337,106
1,0.95,3,1,2,0.9705882352941176,0.23798076923076922,0.3822393822393822,102
1,0.95,3,1,3,0.9705882352941176,0.23798076923076922,0.3822393822393822,102
1,0.95,3,1,5,0.9705882352941176,0.23798076923076922,0.3822393822393822,102
1,0.95,3,1,8,0.9705882352941176,0.23798076923076922,0.3822393822393822,102
1,0.95,3,2,2,1.0,0.06009615384615385,0.11337868480725626,25
1,0.95,3,2,3,1.0,0.06009615384615385,0.11337868480725626,25
