environment,false_merge_rate_delta_median,false_merge_rate_delta_p90,false_split_rate_delta_median,false_split_rate_delta_p90,feature_drift_median_median,feature_drift_median_p90,graph_edge_change_rate_median,graph_edge_change_rate_p90,method,node_count_delta_median,node_count_delta_p90,node_id_retention_median,node_id_retention_p90,node_match_consistency_median,node_match_consistency_p90,perturbation
indoor,0.0,0.0,0.5,0.5,0.08500868082046509,0.08785115480422974,0.14285714285714285,0.16190476190476188,input_geometry,12.0,13.6,0.788235294117647,0.8070588235294117,0.788235294117647,0.8070588235294117,sector_occlusion
indoor,0.0,0.0,0.0,0.0,0.005270063877105713,0.0052708745002746586,0.011904761904761904,0.011904761904761904,input_geometry,-1.0,-1.0,0.9294117647058824,0.9482352941176471,0.9294117647058824,0.9482352941176471,random_drop
indoor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,input_geometry,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
indoor,0.0,0.0,0.5,0.5,0.028735995292663574,0.029925274848937988,0.03571428571428571,0.05476190476190476,input_geometry,3.0,4.6,0.8235294117647058,0.8611764705882353,0.8235294117647058,0.8611764705882353,translation
indoor,0.0,0.0,0.0,0.4,0.01087045669555664,0.011534404754638673,0.011904761904761904,0.02142857142857143,input_geometry,1.0,1.8,0.9058823529411765,0.9247058823529412,0.9058823529411765,0.9247058823529412,rotation
indoor,0.0,0.0,0.0,0.0,0.09538233280181885,0.09777290821075439,0.020833333333333332,0.020833333333333332,old_tunnel_64,2.0,2.0,0.7938144329896907,0.8597938144329896,0.7938144329896907,0.8597938144329896,sector_occlusion
indoor,0.0,0.0,0.0,0.0,0.007157504558563232,0.007189500331878662,0.010416666666666666,0.010416666666666666,old_tunnel_64,1.0,1.8,0.8762886597938144,0.9587628865979381,0.8762886597938144,0.9587628865979381,random_drop
indoor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old_tunnel_64,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
indoor,0.0,0.0,0.0,0.0,0.014579296112060547,0.014592361450195313,0.020833333333333332,0.0375,old_tunnel_64,2.0,3.6,0.8865979381443299,0.9443298969072165,0.8865979381443299,0.9443298969072165,translation
indoor,0.0,0.0,0.0,0.0,0.011957049369812012,0.013152623176574707,0.010416666666666666,0.010416666666666666,old_tunnel_64,-1.0,0.6000000000000001,0.9072164948453608,0.9237113402061856,0.9072164948453608,0.9237113402061856,rotation
indoor,0.0,0.0,0.0,0.0,0.06369483470916748,0.06981475353240967,0.01904761904761905,0.01904761904761905,new_multienv_64,1.0,1.8,0.7962962962962963,0.8037037037037037,0.7962962962962963,0.8037037037037037,sector_occlusion
indoor,0.0,0.0,0.0,0.0,0.008118510246276855,0.008376288414001464,0.009523809523809525,0.017142857142857144,new_multienv_64,-2.0,-1.2,0.9166666666666666,0.924074074074074,0.9166666666666666,0.924074074074074,random_drop
indoor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new_multienv_64,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
indoor,0.0,0.0,0.0,0.0,0.009135127067565918,0.010172247886657715,0.01904761904761905,0.03428571428571429,new_multienv_64,-3.0,0.20000000000000018,0.8703703703703703,0.9148148148148149,0.8703703703703703,0.9148148148148149,translation
indoor,0.0,0.0,0.0,0.0,0.007355093955993652,0.007847189903259277,0.01904761904761905,0.0419047619047619,new_multienv_64,-2.0,-1.2,0.8888888888888888,0.9407407407407408,0.8888888888888888,0.9407407407407408,rotation
indoor,0.0,0.0,0.0,0.0,0.06394070386886597,0.06669305562973023,0.020202020202020204,0.028282828282828285,new_multienv_128,2.0,2.8,0.79,0.798,0.79,0.798,sector_occlusion
indoor,0.0,0.0,0.0,0.0,0.00598454475402832,0.006343555450439453,0.010101010101010102,0.026262626262626265,new_multienv_128,1.0,1.0,0.81,0.81,0.81,0.81,random_drop
indoor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,new_multienv_128,0.0,0.0,1.0,1.0,1.0,1.0,density_drop
indoor,0.0,0.0,0.0,0.0,0.008203744888305664,0.008693552017211914,0.010101010101010102,0.018181818181818184,new_multienv_128,1.0,1.0,0.73,0.746,0.73,0.746,translation
indoor,0.0,0.0,0.0,0.0,0.009305119514465332,0.009720110893249511,0.020202020202020204,0.028282828282828285,new_multienv_128,-2.0,-1.2,0.72,0.768,0.72,0.768,rotation
