threshold,region,selection,tp,fp,fn,ignored,output_count,precision,recall,f1
5.725870725638554e-16,fixed,before,12,167,0,288,467,0.0670391061452514,1.0,0.1256544502617801
5.725870725638554e-16,fixed,after,12,154,0,229,395,0.07228915662650602,1.0,0.1348314606741573
6.023917267580108e-16,old,before,12,150,0,304,466,0.07407407407407407,1.0,0.13793103448275862
6.023917267580108e-16,old,after,12,138,0,244,394,0.08,1.0,0.14814814814814814
6.023917267580108e-16,fixed,before,12,166,0,288,466,0.06741573033707865,1.0,0.12631578947368421
6.023917267580108e-16,fixed,after,12,153,0,229,394,0.07272727272727272,1.0,0.13559322033898305
6.038158009005821e-16,old,before,12,150,0,303,465,0.07407407407407407,1.0,0.13793103448275862
6.038158009005821e-16,old,after,12,138,0,243,393,0.08,1.0,0.14814814814814814
6.038158009005821e-16,fixed,before,12,166,0,287,465,0.06741573033707865,1.0,0.12631578947368421
6.038158009005821e-16,fixed,after,12,153,0,228,393,0.07272727272727272,1.0,0.13559322033898305
6.680904079436922e-16,old,before,12,150,0,302,464,0.07407407407407407,1.0,0.13793103448275862
6.680904079436922e-16,old,after,12,138,0,243,393,0.08,1.0,0.14814814814814814
6.680904079436922e-16,fixed,before,12,166,0,286,464,0.06741573033707865,1.0,0.12631578947368421
6.680904079436922e-16,fixed,after,12,153,0,228,393,0.07272727272727272,1.0,0.13559322033898305
1.0007899677299268e-15,old,before,12,149,0,302,463,0.07453416149068323,1.0,0.13872832369942195
1.0007899677299268e-15,old,after,12,138,0,243,393,0.08,1.0,0.14814814814814814
1.0007899677299268e-15,fixed,before,12,165,0,286,463,0.06779661016949153,1.0,0.12698412698412698
1.0007899677299268e-15,fixed,after,12,153,0,228,393,0.07272727272727272,1.0,0.13559322033898305
1.0413120239265725e-15,old,before,12,149,0,301,462,0.07453416149068323,1.0,0.13872832369942195
1.0413120239265725e-15,old,after,12,138,0,243,393,0.08,1.0,0.14814814814814814
1.0413120239265725e-15,fixed,before,12,165,0,285,462,0.06779661016949153,1.0,0.12698412698412698
1.0413120239265725e-15,fixed,after,12,153,0,228,393,0.07272727272727272,1.0,0.13559322033898305
1.0619230883903482e-15,old,before,12,149,0,300,461,0.07453416149068323,1.0,0.13872832369942195
1.0619230883903482e-15,old,after,12,138,0,242,392,0.08,1.0,0.14814814814814814
1.0619230883903482e-15,fixed,before,12,165,0,284,461,0.06779661016949153,1.0,0.12698412698412698
1.0619230883903482e-15,fixed,after,12,153,0,227,392,0.07272727272727272,1.0,0.13559322033898305
1.2449474265342157e-15,old,before,12,149,0,299,460,0.07453416149068323,1.0,0.13872832369942195
1.2449474265342157e-15,old,after,12,138,0,241,391,0.08,1.0,0.14814814814814814
1.2449474265342157e-15,fixed,before,12,165,0,283,460,0.06779661016949153,1.0,0.12698412698412698
1.2449474265342157e-15,fixed,after,12,153,0,226,391,0.07272727272727272,1.0,0.13559322033898305
1.6836589300812791e-15,old,before,12,149,0,298,459,0.07453416149068323,1.0,0.13872832369942195
1.6836589300812791e-15,old,after,12,138,0,240,390,0.08,1.0,0.14814814814814814
1.6836589300812791e-15,fixed,before,12,165,0,282,459,0.06779661016949153,1.0,0.12698412698412698
1.6836589300812791e-15,fixed,after,12,153,0,225,390,0.07272727272727272,1.0,0.13559322033898305
1.7105903426392296e-15,old,before,12,149,0,297,458,0.07453416149068323,1.0,0.13872832369942195
1.7105903426392296e-15,old,after,12,138,0,239,389,0.08,1.0,0.14814814814814814
1.7105903426392296e-15,fixed,before,12,165,0,281,458,0.06779661016949153,1.0,0.12698412698412698
1.7105903426392296e-15,fixed,after,12,153,0,224,389,0.07272727272727272,1.0,0.13559322033898305
1.8626881314503033e-15,old,before,12,149,0,296,457,0.07453416149068323,1.0,0.13872832369942195
1.8626881314503033e-15,old,after,12,138,0,239,389,0.08,1.0,0.14814814814814814
1.8626881314503033e-15,fixed,before,12,165,0,280,457,0.06779661016949153,1.0,0.12698412698412698
1.8626881314503033e-15,fixed,after,12,153,0,224,389,0.07272727272727272,1.0,0.13559322033898305
1.8848535013722906e-15,old,before,12,149,0,295,456,0.07453416149068323,1.0,0.13872832369942195
1.8848535013722906e-15,old,after,12,138,0,238,388,0.08,1.0,0.14814814814814814
1.8848535013722906e-15,fixed,before,12,165,0,279,456,0.06779661016949153,1.0,0.12698412698412698
1.8848535013722906e-15,fixed,after,12,153,0,223,388,0.07272727272727272,1.0,0.13559322033898305
1.9223734610456303e-15,old,before,12,149,0,294,455,0.07453416149068323,1.0,0.13872832369942195
1.9223734610456303e-15,old,after,12,138,0,238,388,0.08,1.0,0.14814814814814814
1.9223734610456303e-15,fixed,before,12,165,0,278,455,0.06779661016949153,1.0,0.12698412698412698
1.9223734610456303e-15,fixed,after,12,153,0,223,388,0.07272727272727272,1.0,0.13559322033898305
2.145094421779044e-15,old,before,12,149,0,293,454,0.07453416149068323,1.0,0.13872832369942195
2.145094421779044e-15,old,after,12,138,0,237,387,0.08,1.0,0.14814814814814814
2.145094421779044e-15,fixed,before,12,165,0,277,454,0.06779661016949153,1.0,0.12698412698412698
2.145094421779044e-15,fixed,after,12,153,0,222,387,0.07272727272727272,1.0,0.13559322033898305
2.359018945355222e-15,old,before,12,148,0,293,453,0.075,1.0,0.13953488372093023
2.359018945355222e-15,old,after,12,137,0,237,386,0.08053691275167785,1.0,0.14906832298136646
2.359018945355222e-15,fixed,before,12,164,0,277,453,0.06818181818181818,1.0,0.1276595744680851
